"Страна","Общий индекс конкурентоспособности в сфере туризма","Индекс бизнес-среды","Индекс безопасности","Индекс здоровья и гигиены","Индекс ценовой конкурентноспособности","Качество автомобильных дорог","Добыча нефти в 2016 году тыс. баррелей","Добыча природного газа за 2016 год, млн. м3","ВВП на душу населения, долл. США","Средняя заработная плата, долл. США"
"Австралия","5.10","5.05","6.10","6.14","3.82","4.8",107039,56287,47644,"3156.76"
"Австрия","4.86","4.96","6.28","6.71","3.86","6.0",5599,1197,46986,"2214.50"
"Азербайджан","3.70","4.57","5.85","6.09","5.38","4.4",259070,17083,18030,"238.25"
"Албания","3.35","4.07","5.71","5.22","4.70","4.4",0,85,11304,"345.62"
"Алжир","3.07","4.03","5.28","4.92","6.03","3.2",424300,94782,14532,"287.28"
"Ангола","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",625206,,6958,"1876.68"
"Андорра","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,46700,"2074.28"
"Антигуа и Барбуда","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,23523,"832.55"
"Аргентина","4.05","3.14","4.96","6.38","4.06","3.1",157612,27312,20499,"854.40"
"Армения","3.53","4.87","5.86","5.91","4.79","3.8",0,,8492,"279.85"
"Афганистан","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,1937,"228.65"
"Багамские Острова","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,24505,"2021.21"
"Бангладеш","2.89","4.10","3.69","4.34","4.66","2.9",0,23317,3629,"315.30"
"Барбадос","3.91","4.42","5.60","6.05","3.05","4.5",101,11,16670,"нет данных"
"Бахрейн","3.89","5.50","5.70","5.17","5.53","5.1",17931,6987,49601,"нет данных"
"Белиз","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",0,0,8321,"нет данных"
"Белоруссия","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",12102,215,17715,"382.57"
"Бельгия","4.54","4.93","5.90","6.71","4.38","4.9",0,0,44148,"2241.98"
"Бенин","2.84","4.29","5.24","2.90","4.91","2.9",,,2113,"нет данных"
"Болгария","4.14","4.50","5.14","6.63","5.31","3.4",29,94,19169,"565.28"
"Боливия","3.34","3.00","5.01","4.43","4.34","3.1",0,0,6954,"445.66"
"Босния и Герцеговина","3.12","3.55","5.37","5.66","4.33","2.9",,,10550,"496.54"
"Ботсвана","3.52","5.07","5.34","3.51","5.74","4.1",,,16415,"747.98"
"Бразилия","4.49","3.49","4.50","5.32","5.25","3.0",835765,2889,15646,"550.06"
"Бруней","нет данных","нет данных","нет данных","нет данных","0.00","4.7",39909,11132,79508,"1471.66"
"Буркина-Фасо","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,1727,"210.82"
"Бурунди","2.57","3.86","4.23","3.80","4.72","2.9",,,831,"64.98"
"Бутан","3.61","4.72","6.09","4.62","6.00","3.8",,,7690,"415.26"
"Вануату","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,2555,"нет данных"
"Ватикан","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,"нет данных","нет данных"
"Великобритания","5.20","5.86","5.34","5.83","2.83","5.1",335120,43022,41499,"2415.41"
"Венгрия","4.06","4.17","5.72","6.63","4.66","4.1",5065,1841,26275,"651.26"
"Венесуэла","3.28","2.43","3.28","5.10","5.47","2.8",870788,11977,16789,"33.36"
"Восточный Тимор","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,4715,"250.00"
"Вьетнам","3.78","4.45","5.56","5.04","5.35","3.5",0,10655,6037,"362.64"
"Габон","3.06","4.01","5.29","4.35","5.48","2.8",0,,18677,"779.10"
"Гаити","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",0,,1757,"нет данных"
"Гайана","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",0,,7537,"285.78"
"Гамбия","3.12","4.25","5.63","3.58","5.34","3.9",0,,1650,"нет данных"
"Гана","3.04","4.65","5.49","2.99","4.22","3.5",,,4291,"305.08"
"Гватемала","3.51","4.45","3.74","4.58","5.64","3.4",2737,,7759,"530.40"
"Гвинея","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,1238,"нет данных"
"Гвинея-Бисау","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,1510,"нет данных"
"Германия","5.28","5.34","5.65","6.86","4.17","5.6",16920,7578,46974,"2643.54"
"Гондурас","3.49","4.17","3.45","4.55","4.69","3.8",0,,5091,"400.28"
"Гренада","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",0,,13572,"789.04"
"Греция","4.51","4.11","5.63","6.57","4.66","4.3",1164,0,26391,"829.44"
"Грузия","3.70","5.26","6.01","6.10","4.90","3.8",0,0,9591,"285.80"
"Дания","4.43","5.48","6.05","6.13","3.75","5.7",51252,4505,45723,"3117.37"
"Джибути","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,3210,"нет данных"
"Доминика","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,11163,"573.53"
"Доминиканская Республика","3.62","4.16","4.50","4.93","4.43","4.4",0,0,15023,"335.57"
"Египет","3.64","4.34","3.29","5.40","6.18","3.1",238382,42102,11803,"159.72"
"Замбия","3.18","4.63","5.40","2.70","4.80","3.5",,,3852,"1362.76"
"Зимбабве","3.11","2.98","5.52","2.88","5.07","3.2",,,1984,"352.71"
"Израиль","3.84","5.01","4.62","6.06","3.13","4.9",,,34054,"2609.24"
"Индия","4.18","4.26","4.12","4.36","5.85","4.4",268160,28694,6187,"553.11"
"Индонезия","4.16","4.54","5.06","4.30","6.00","3.9",228539,49222,11149,"373.13"
"Иордания","3.63","4.82","5.78","5.54","4.78","4.3",,,10902,"604.15"
"Ирак","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",1701123,26891,15186,"605.87"
"Иран","3.43","4.34","5.17","4.72","6.66","4.1",1092365,122408,17346,"480.75"
"Ирландия","4.53","5.51","6.11","5.71","4.03","5.0",0,2613,65806,"2582.32"
"Исландия","4.50","5.33","6.57","6.07","3.58","4.8",0,,45666,"3245.27"
"Испания","5.43","4.39","6.16","6.28","4.52","5.5",1049,54,34861,"1544.68"
"Италия","4.99","3.87","5.41","6.18","3.88","4.6",25858,5783,35781,"1691.16"
"Йемен","2.44","3.53","2.80","3.85","5.92","2.5",0,,2676,"235.77"
"Кабо-Верде","3.55","4.43","5.19","4.67","5.17","4.1",,,6502,"нет данных"
"Казахстан","3.59","4.93","5.54","6.69","5.90","3.1",438655,20808,25912,"385.81"
"Камбоджа","3.32","3.65","5.15","4.02","5.10","3.4",,,3498,"185.40"
"Камерун","2.88","4.01","4.25","3.14","4.99","2.5",,,3148,"249.31"
"Канада","4.97","5.25","6.10","5.59","4.53","5.3",1127899,173606,45602,"2505.79"
"Катар","4.08","5.84","6.33","5.96","5.75","5.1",219105,174057,132870,"3331.75"
"Кения","3.59","4.43","3.45","3.17","4.83","4.2",,,3218,"315.24"
"Кипр","4.02","4.59","5.82","5.81","4.27","4.9",0,,33183,"1492.13"
"Киргизия","3.10","4.40","4.96","5.76","5.45","2.5",,,3395,"218.42"
"Кирибати","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,1778,"нет данных"
"Китай","4.72","4.24","4.99","5.42","5.30","4.8",1460918,136628,14340,"922.92"
"Колумбия","3.83","4.02","2.59","4.99","4.38","2.8",168861,5152,13836,"341.94"
"Коморы","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,1522,"нет данных"
"Конго","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,6722,"456.56"
"Конго ДР","2.64","4.08","4.04","2.77","3.84","2.1",,,767,"нет данных"
"Коста-Рика","4.22","4.50","5.43","5.01","4.34","2.7",0,,15469,"843.88"
"Кот-д’Ивуар","3.16","4.32","4.97","2.56","4.35","4.7",,,3359,"нет данных"
"Куба","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",0,,"нет данных","26.03"
"Кувейт","3.33","4.56","5.73","5.43","5.26","4.4",989811,17291,70542,"1931.18"
"Лаос","3.40","4.72","5.44","4.34","5.72","3.4",,,5351,"222.40"
"Латвия","3.97","4.56","5.76","6.44","5.25","3.2",0,0,24652,"724.15"
"Лесото","2.84","4.24","5.41","2.94","4.99","3.2",,,3003,"1465.31"
"Либерия","нет данных","нет данных","нет данных","нет данных","0.00","3.1",,,875,"1000.00"
"Ливан","3.37","4.21","3.57","5.91","5.47","2.8",,,18277,"1025.73"
"Ливия","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",0,3744,14679,"1807.02"
"Литва","3.91","4.63","5.73","6.81","5.37","4.9",460,0,28413,"799.18"
"Лихтенштейн","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,"нет данных","нет данных"
"Люксембург","4.49","5.80","6.32","6.27","4.55","5.6",0,0,99506,"3692.33"
"Маврикий","3.92","5.23","5.88","5.34","4.13","4.7",0,,19573,"653.98"
"Мавритания","2.64","3.38","4.21","3.69","4.83","2.3",,,4311,"338.57"
"Мадагаскар","2.99","3.62","5.02","3.33","5.03","2.0",,,1466,"92.61"
"Македония","3.49","4.82","5.57","5.99","5.20","3.7",0,0,14048,"366.35"
"Малави","2.91","4.17","5.40","2.97","4.58","2.9",,,1126,"913.91"
"Малайзия","4.50","5.41","5.75","5.16","6.06","5.5",261706,64428,26211,"833.00"
"Мали","2.78","4.08","3.59","2.56","4.99","3.2",,,2191,"97.00"
"Мальдивы","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,14895,"539.43"
"Мальта","4.25","4.75","5.92","6.35","4.44","3.2",0,,36042,"1360.57"
"Марокко","3.81","4.69","6.14","4.57","5.19","4.4",0,96,8180,"443.98"
"Маршалловы Острова","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,3193,"нет данных"
"Мексика","4.54","4.18","4.16","5.26","4.92","4.3",789300,41227,18430,"501.44"
"Микронезия","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,2961,"нет данных"
"Мозамбик","2.91","4.23","4.57","1.83","4.63","2.4",,,1192,"462.31"
"Молдавия","3.09","3.81","5.42","6.13","5.38","2.5",0,0,5047,"257.12"
"Монако","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,"нет данных","5856.10"
"Монголия","3.31","4.41","5.65","5.82","5.72","3.0",,,12178,"347.87"
"Мьянма","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",3259,12453,5480,"277.43"
"Намибия","3.59","4.90","5.24","3.52","5.38","5.2",,,11224,"886.64"
"Науру","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,"нет данных","нет данных"
"Непал","3.28","4.07","4.85","5.01","5.58","2.8",0,,2463,"193.02"
"Нигер","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",6128,,1077,"нет данных"
"Нигерия","2.82","4.31","3.10","2.68","4.88","2.6",666754,43842,6121,"200.31"
"Нидерланды","4.64","5.50","6.14","6.23","4.13","6.1",6445,50543,49624,"2635.80"
"Никарагуа","3.44","3.49","5.44","4.60","5.05","3.6",0,,5044,"339.39"
"Новая Зеландия","4.68","5.65","6.31","5.72","4.38","4.5",12723,4689,36136,"2382.79"
"Норвегия","4.64","5.56","6.41","6.31","3.69","4.1",600309,120193,68591,"3348.33"
"ОАЭ","4.49","5.85","6.60","5.44","5.02","6.5",900016,54245,67217,"3358.31"
"Оман","3.78","5.11","6.49","5.43","5.48","5.5",60920,30897,43707,"1454.19"
"Пакистан","2.89","3.94","3.10","4.53","5.43","3.8",,42032,4906,"258.13"
"Палау","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,15213,"нет данных"
"Палестина","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,"нет данных","838.68"
"Панама","4.37","4.94","5.31","5.14","5.18","4.5",0,,21809,"639.85"
"Папуа - Новая Гвинея","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",0,0,3495,"545.20"
"Парагвай","3.15","4.29","4.69","5.02","4.96","2.2",0,,9050,"342.80"
"Перу","4.04","4.31","4.49","4.80","3.83","3.0",13587,9523,12518,"413.69"
"Польша","4.11","4.47","5.70","6.25","5.50","4.0",7337,5794,26499,"932.07"
"Португалия","4.74","4.63","6.32","6.25","4.83","5.9",0,0,27885,"960.33"
"Россия","4.15","4.09","4.31","6.70","5.75","2.8",3794711,642242,25965,"626.20"
"Руанда","3.36","5.09","6.39","3.79","4.80","5.0",,,1810,"269.59"
"Румыния","3.78","4.36","5.78","6.14","4.68","2.6",27596,9931,20872,"682.93"
"Сальвадор","3.28","4.02","3.02","4.94","4.85","3.9",0,,8620,"нет данных"
"Самоа","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,5183,"нет данных"
"Сан-Марино","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,62938,"нет данных"
"Сан-Томе и Принсипи","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,3250,"нет данных"
"Саудовская Аравия","3.82","5.20","5.51","5.58","5.62","4.9",3828467,102380,53802,"1682.71"
"Северная Корея","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,1800,"нет данных"
"Сейшельские Острова","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,26677,"нет данных"
"Сенегал","3.14","4.24","5.45","3.63","3.75","4.1",,,2456,"нет данных"
"Сент-Винсент и Гренадины","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,10937,"нет данных"
"Сент-Китс и Невис","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,24476,"нет данных"
"Сент-Люсия","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,11710,"1332.08"
"Сербия","3.38","4.02","5.41","6.04","4.82","2.9",,,13699,"410.18"
"Сингапур","4.85","6.07","6.45","5.45","4.65","6.3",0,0,85382,"3203.83"
"Сирия","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",0,,"нет данных","нет данных"
"Словакия","3.90","4.01","5.61","6.50","4.95","4.1",66,98,29758,"945.64"
"Словения","4.18","4.33","6.20","6.03","4.63","4.4",0,0,30918,"1234.02"
"Соломоновы Острова","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,1955,"нет данных"
"Сомали","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,"нет данных","нет данных"
"Судан","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,4394,"нет данных"
"Суринам","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",0,,16253,"нет данных"
"США","5.12","5.44","5.23","5.71","4.36","5.6",3249816,749727,56084,"3291.01"
"Сьерра-Леоне","2.69","4.16","5.14","2.34","4.49","2.8",,,1593,"нет данных"
"Таджикистан","3.18","4.27","5.68","5.68","4.68","4.1",133,,2835,"нет данных"
"Таиланд","4.38","4.74","4.00","4.90","5.61","4.2",94329,37695,16130,"519.45"
"Танзания","3.45","4.15","5.05","2.93","5.35","3.4",,,2910,"нет данных"
"Того","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,1489,"нет данных"
"Тонга","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,5136,"нет данных"
"Тринидад и Тобаго","3.67","4.39","4.09","5.14","4.83","4.1",15242,25739,32573,"нет данных"
"Тувалу","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,3400,"нет данных"
"Тунис","3.50","4.45","4.68","5.18","5.89","3.5",14142,1788,11451,"261.83"
"Туркмения","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,74160,16478,"нет данных"
"Турция","4.14","4.49","4.05","5.43","4.86","5.0",18032,367,20420,"588.22"
"Уганда","3.20","4.28","4.61","2.75","4.97","3.5",,,2002,"нет данных"
"Узбекистан","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,59287,6081,"нет данных"
"Украина","3.50","3.71","3.51","6.63","5.19","2.4",10930,17606,7987,"221.64"
"Уругвай","3.61","4.62","5.47","5.97","3.97","3.2",0,0,21341,"618.96"
"Фиджи","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,9052,"нет данных"
"Филиппины","3.60","4.32","3.56","4.79","5.51","3.1",3308,3951,7282,"314.20"
"Финляндия","4.40","5.65","6.65","6.29","4.26","5.7",0,0,41109,"2707.08"
"Франция","5.32","4.74","5.43","6.52","4.12","6.0",5974,38,41476,"2314.34"
"Хорватия","4.42","4.01","6.09","6.38","4.45","5.5",5029,1699,21625,"818.11"
"ЦАР","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,628,"нет данных"
"Чад","2.52","2.93","3.74","2.89","4.88","2.6",,,2640,"нет данных"
"Черногория","3.68","4.36","5.37","5.80","4.82","3.2",,,16016,"нет данных"
"Чехия","4.22","4.46","5.92","6.69","4.90","4.1",858,218,32076,"1068.02"
"Чили","4.06","4.98","5.72","5.19","5.28","5.0",1524,889,23507,"798.61"
"Швейцария","4.94","6.00","6.41","6.53","2.81","6.0",0,28,58647,"5053.81"
"Швеция","4.55","5.46","6.22","6.11","4.05","5.3",0,0,48199,"2556.60"
"Шри-Ланка","3.81","4.69","5.53","5.28","5.55","4.7",,,10590,"265.88"
"Эквадор","3.91","3.90","5.20","5.06","5.10","5.1",201052,530,11317,"460.39"
"Экваториальная Гвинея","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,0,43522,"нет данных"
"Эритрея","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,1300,"нет данных"
"Эсватини","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,9712,"нет данных"
"Эстония","4.23","5.23","6.26","6.27","5.07","4.7",0,0,28650,"1117.67"
"Эфиопия","3.10","3.96","4.90","4.47","4.92","3.7",,,1804,"нет данных"
"ЮАР","4.01","5.28","3.93","3.77","5.25","5.0",0,601,13209,"1372.98"
"Южная Корея","4.57","4.75","5.82","6.35","4.66","5.6",111,111,36612,"2376.93"
"Южный Судан","нет данных","нет данных","нет данных","нет данных","0.00","нет данных",,,1995,"нет данных"
"Ямайка","3.71","4.77","3.98","4.68","3.97","3.8",0,,8771,"нет данных"
"Япония","5.26","5.31","6.07","6.43","4.61","6.1",1393,4175,38148,"2512.01"
